source_id,designation,ra,dec,phot_g_mean_mag,parallax,bp_rp,ph_qual,j_m,h_m,ks_m
598903953585548672,08502901+1138092,132.62085201174244,11.6359111528149,13.646082,1.1420813291546128,0.74066925,AAA,12.692,12.439,12.398
604901823875341056,08522636+1141277,133.1098362843453,11.691020965269104,12.249378,1.213697106322298,1.1126966,AAA,10.845,10.314,10.263
604736381734433664,08533471+1141585,133.39461562411506,11.699582602663176,13.662275,1.1354063943768855,0.7829361,AAA,12.677,12.387,12.326
604903576222013952,08520580+1142246,133.024145343748,11.70685105938673,13.562483,1.1611473132023893,0.78445625,AAA,12.515,12.212,12.105
598963876969204736,08482506+1142272,132.1044833694996,11.707543412924416,11.843637,3.988549176820133,0.84545517,AAA,10.761,10.44,10.352
604912406674856064,08504609+1143082,132.69199810714824,11.718959347259792,12.97168,1.1260384683463016,0.7431812,AAA,12.019,11.76,11.681
604904538294704768,08514475+1145012,132.9364128137695,11.750350145304576,13.221856,1.1850340822961247,0.7272253,AAA,12.288,12.039,11.969
604905500367349888,08521134+1145380,133.0472343503758,11.760536076597916,12.695327,1.2013230888602429,0.96841717,AAA,11.452,11.082,10.993
604917281461922432,08512055+1146047,132.83557756304552,11.768010696262303,13.042321,1.1452386369686802,0.75326633,AAA,12.073,11.811,11.771
604906256281593472,08520961+1146462,133.04001385389932,11.779497951989924,13.884225,1.175451005810465,0.7675934,AAA,12.932,12.642,12.589
604918316549771264,08515335+1148208,132.97224917790228,11.805787369253986,12.582053,1.1796680102998034,0.7360163,AAA,11.625,11.39,11.305
604918316549769600,08515558+1148381,132.98155898548345,11.81060336831676,13.733011,1.1549365951807669,0.84986115,AAA,12.656,12.346,12.258
604925974475194496,08530930+1149135,133.28871350582554,11.82034525861059,13.619121,1.721592679491187,0.85701275,AAA,12.504,12.21,12.175
604743013163971072,08545028+1150537,133.70948878498584,11.848271253180394,13.551785,3.072829971132402,1.1031837,AAA,12.158,11.72,11.639
604920962249663360,08511564+1150561,132.8151086611252,11.848939492176996,12.771166,1.1324125709174997,1.0141916,AAA,11.485,11.094,11.013
601973034136134400,08472830+1152348,131.86788076884193,11.876328131377278,13.716744,1.379416782392905,0.7547531,AAA,12.773,12.511,12.452
604929036788082816,08531254+1154057,133.3022320272234,11.901627661466817,13.891986,2.1326627367395097,0.999979,AAA,12.667,12.259,12.166
604978411732085504,08494570+1156353,132.44047969468733,11.943184312130173,13.4173,1.3424572681210265,0.81579113,AAA,12.359,12.071,12.022
604967622774220160,08501313+1157294,132.55462226653455,11.95814584526982,11.532956,2.5155571324409776,0.61873055,AAA,10.723,10.517,10.485
604945014066435072,08523318+1159014,133.1383196654169,11.98370564765895,12.349817,0.2730285978455742,1.400918,AAA,10.554,9.871,9.776
604977106061961984,08503851+1207458,132.66038916287926,12.129373861086645,13.014684,1.1387764097927688,0.74192905,AAA,12.061,11.817,11.765
604954085036355712,08533445+1209352,133.39363969306038,12.159765025582333,10.179611,2.946057850240833,0.46839237,AAA,9.283,9.135,9.06
604989578646987520,08503338+1210157,132.63908043361386,12.170961736457388,13.091199,1.6947495590391308,0.74218464,AAA,12.162,11.897,11.837
607992718563478784,08485045+1212575,132.2101556986769,12.215881298879108,12.307045,6.212256284906298,1.1530485,AAA,10.875,10.353,10.27
605039606425552000,08545627+1213146,133.73441691177973,12.220698601306518,11.684257,1.9395424832007373,0.6216583,AAA,10.892,10.679,10.643
607995914019146880,08491416+1213517,132.3089875929747,12.23098177069149,12.843709,1.60267386731593,0.78480625,AAA,11.8,11.477,11.433
608001381513227136,08493081+1221077,132.3784023060548,12.35215320258069,13.05716,0.2878570367088202,1.1839876,AAA,11.544,11.019,10.916
605007858027675008,08522393+1221103,133.0997588439362,12.352887208097869,13.11072,0.4700804560863278,1.2595234,AAA,11.522,10.94,10.814
608001892613736576,08493927+1222310,132.41359409342803,12.375296852457408,13.267747,1.1358254893742616,0.74583244,AAA,12.294,11.995,11.952
605120210076345088,08522132+1234450,133.08858233442083,12.57910728039453,12.450485,3.5330671827290066,0.9043789,AAA,11.326,10.965,10.903
608040482895480576,08492547+1235297,132.35619026787637,12.591030242575536,13.172305,7.753726504767282,1.7627039,AAA,11.134,10.462,10.298
605121245163858304,08524418+1237171,133.18409701880142,12.621380017447557,13.059515,1.1221110210074334,0.79277134,AAA,12.024,11.744,11.685
608042784997937024,08495112+1240262,132.46291387003774,12.674003751356317,13.011898,1.6156788169416971,0.7961607,AAA,12.004,11.689,11.646
598669375358163072,08515030+1101354,132.95938770994783,11.026447237038903,12.392943,5.548268827495508,1.1474094,AAA,10.866,10.441,10.36
598661369537382016,08495333+1103040,132.4722449168398,11.05106088551757,13.16145,3.132945724659432,1.036706,AAA,11.883,11.465,11.359
598673365381247104,08523212+1103353,133.13387667606398,11.059765371912285,13.2249775,1.7660729790513687,0.84521866,AAA,12.125,11.802,11.697
598855197116288128,08493120+1112548,132.38002463572408,11.215212763978444,11.147776,0.7155672441735346,1.3464584,AAA,9.442,8.87,8.663
598887868932718976,08501473+1124563,132.56142107133317,11.41561239223111,13.453484,0.823570433350518,0.8293934,AAA,12.395,12.09,12.022
598893954901717248,08500038+1125407,132.50156902596976,11.427935504638432,12.602173,1.1944561482737803,0.722415,AAA,11.637,11.432,11.384
598920377540555136,08483718+1126251,132.1548684548331,11.44027731928051,10.751055,0.9740420274231196,1.1645374,AAA,9.27,8.748,8.615
604890519521489280,08515177+1130003,132.9657041111549,11.50011488702622,13.564315,1.3350499062040957,0.712348,AAA,12.65,12.377,12.317
598945318414855936,08484473+1131207,132.18636744368874,11.5223827968276,13.795906,2.105080414846356,0.9875345,AAA,12.595,12.191,12.092
604907665030971008,08504358+1135486,132.6817378672704,11.596701709286773,11.484133,3.8693314230642977,0.7534485,AAA,10.531,10.224,10.176
604893921135574400,08514608+1136183,132.94191697617248,11.604835923605265,10.978755,3.8701952320518975,0.89015007,AAA,9.833,9.495,9.373
598943192406726144,08472906+1140541,131.87101434078266,11.68167519408532,12.28041,1.615259674282825,0.61722374,AAA,11.499,11.3,11.242
604905156769963136,08521856+1144263,133.0773429470005,11.740646176154268,10.147911,1.175932797447876,1.2281027,AAA,8.572,8.087,7.923
604911375882674944,08511670+1145293,132.81952447881753,11.75816214557706,12.210929,1.0552999230438342,0.92181873,AAA,11.021,10.662,10.57
